DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,censuscode,date,mean
Chandigarh,1,4,Chandigarh,55,2002-04-01,479.5710018
Daman,2,25,Daman & Diu,495,2002-04-01,458.1970193
Diu,1,25,Daman & Diu,494,2002-04-01,635.6383876
Dadra & Nagar Haveli,1,26,Dadara & Nagar Havelli,496,2002-04-01,505.2115568
North Goa,1,30,Goa,585,2002-04-01,566.2094793
South Goa,2,30,Goa,586,2002-04-01,570.4451123
Lakshadweep,1,31,Lakshadweep,587,2002-04-01,418.8222983
Data Not Available,99,99,Jammu & Kashmir,0,2002-04-01,227.9222098
Pulwama,12,1,Jammu & Kashmir,12,2002-04-01,280.145075
Punch,5,1,Jammu & Kashmir,5,2002-04-01,303.3085462
Rajouri,6,1,Jammu & Kashmir,6,2002-04-01,345.7643795
Anantnag,14,1,Jammu & Kashmir,14,2002-04-01,224.0020397
Badgam,2,1,Jammu & Kashmir,2,2002-04-01,279.5490483
Bandipore,9,1,Jammu & Kashmir,9,2002-04-01,288.5315172
Baramula,8,1,Jammu & Kashmir,8,2002-04-01,315.0284271
Doda,16,1,Jammu & Kashmir,16,2002-04-01,255.4500821
Ganderbal,11,1,Jammu & Kashmir,11,2002-04-01,210.0111581
Jammu,21,1,Jammu & Kashmir,21,2002-04-01,345.0363556
Kargil,4,1,Jammu & Kashmir,4,2002-04-01,53.42799577
Kathua,7,1,Jammu & Kashmir,7,2002-04-01,342.8398699
Kishtwar,18,1,Jammu & Kashmir,18,2002-04-01,266.4339762
Kulgam,15,1,Jammu & Kashmir,15,2002-04-01,207.9616922
Kupwara,1,1,Jammu & Kashmir,1,2002-04-01,255.6081564
Leh (ladakh),3,1,Jammu & Kashmir,3,2002-04-01,21.67930756
Ramban,17,1,Jammu & Kashmir,17,2002-04-01,258.2502582
Reasi,20,1,Jammu & Kashmir,20,2002-04-01,329.1823128
Samba,22,1,Jammu & Kashmir,22,2002-04-01,354.4053889
Shupiyan,13,1,Jammu & Kashmir,13,2002-04-01,230.9952281
Srinagar,10,1,Jammu & Kashmir,10,2002-04-01,294.8947737
Udhampur,19,1,Jammu & Kashmir,19,2002-04-01,322.0249623
Bilaspur,8,2,Himachal Pradesh,30,2002-04-01,393.6070809
Chamba,1,2,Himachal Pradesh,23,2002-04-01,297.5147668
Hamirpur,6,2,Himachal Pradesh,28,2002-04-01,410.9054201
Kangra,2,2,Himachal Pradesh,24,2002-04-01,341.1031789
Kinnaur,12,2,Himachal Pradesh,34,2002-04-01,135.0848011
Kullu,4,2,Himachal Pradesh,26,2002-04-01,278.705039
Lahul & Spiti,3,2,Himachal Pradesh,25,2002-04-01,20.12320349
Mandi,5,2,Himachal Pradesh,27,2002-04-01,351.2447771
Shimla,11,2,Himachal Pradesh,33,2002-04-01,319.4671697
Sirmaur,10,2,Himachal Pradesh,32,2002-04-01,394.531328
Solan,9,2,Himachal Pradesh,31,2002-04-01,412.2487
Una,7,2,Himachal Pradesh,29,2002-04-01,433.3822311
Muktsar,10,3,Punjab,44,2002-04-01,620.9237375
Patiala,14,3,Punjab,48,2002-04-01,501.0297273
Amritsar,15,3,Punjab,49,2002-04-01,365.4089178
Barnala,20,3,Punjab,54,2002-04-01,601.7300985
Bathinda,12,3,Punjab,46,2002-04-01,569.841307
Faridkot,11,3,Punjab,45,2002-04-01,630.340864
Fatehgarh Sahib,6,3,Punjab,40,2002-04-01,494.7201485
Firozpur,9,3,Punjab,43,2002-04-01,555.1700413
Gurdaspur,1,3,Punjab,35,2002-04-01,344.7393627
Hoshiarpur,4,3,Punjab,38,2002-04-01,389.6527822
Jalandhar,3,3,Punjab,37,2002-04-01,454.693395
Kapurthala,2,3,Punjab,36,2002-04-01,402.9997585
Ludhiana,7,3,Punjab,41,2002-04-01,531.4482612
Mansa,13,3,Punjab,47,2002-04-01,594.8349669
Moga,8,3,Punjab,42,2002-04-01,576.9322248
Rupnagar,17,3,Punjab,51,2002-04-01,428.4357704
Sahibzada Ajit Singh Nagar,18,3,Punjab,52,2002-04-01,495.5913418
Sangrur,19,3,Punjab,53,2002-04-01,542.2778761
Shahid Bhagat Singh Nagar,5,3,Punjab,39,2002-04-01,422.6347189
Tarn Taran,16,3,Punjab,50,2002-04-01,492.4119444
Nainital,11,5,Uttarakhand,66,2002-04-01,537.927178
Pithoragarh,7,5,Uttarakhand,62,2002-04-01,375.612305
Almora,9,5,Uttarakhand,64,2002-04-01,434.5765204
Bageshwar,8,5,Uttarakhand,63,2002-04-01,395.250544
Chamoli,2,5,Uttarakhand,57,2002-04-01,307.8436183
Champawat,10,5,Uttarakhand,65,2002-04-01,509.5060427
Dehradun,5,5,Uttarakhand,60,2002-04-01,454.9421319
Garhwal,6,5,Uttarakhand,61,2002-04-01,472.4680787
Hardwar,13,5,Uttarakhand,68,2002-04-01,471.5585599
Rudraprayag,3,5,Uttarakhand,58,2002-04-01,343.5480876
Tehri Garhwal,4,5,Uttarakhand,59,2002-04-01,405.7624027
Udham Singh Nagar,12,5,Uttarakhand,67,2002-04-01,495.1627614
Uttarkashi,1,5,Uttarakhand,56,2002-04-01,321.5363576
Palwal,21,6,Haryana,89,2002-04-01,551.9766827
Panchkula,1,6,Haryana,69,2002-04-01,457.2829299
Panipat,7,6,Haryana,75,2002-04-01,543.5488427
Ambala,2,6,Haryana,70,2002-04-01,471.794007
Bhiwani,13,6,Haryana,81,2002-04-01,597.0895786
Faridabad,20,6,Haryana,88,2002-04-01,547.9493345
Fatehabad,10,6,Haryana,78,2002-04-01,602.4682142
Gurgaon,18,6,Haryana,86,2002-04-01,603.5670827
Hisar,12,6,Haryana,80,2002-04-01,604.3531823
Jhajjar,15,6,Haryana,83,2002-04-01,579.5421102
Kaithal,5,6,Haryana,73,2002-04-01,547.5019251
Karnal,6,6,Haryana,74,2002-04-01,527.6957514
Kurukshetra,4,6,Haryana,72,2002-04-01,468.7395848
Mahendragarh,16,6,Haryana,84,2002-04-01,597.2451555
Mewat,19,6,Haryana,87,2002-04-01,594.0985054
Rewari,17,6,Haryana,85,2002-04-01,578.2124839
Rohtak,14,6,Haryana,82,2002-04-01,559.4641872
Sirsa,11,6,Haryana,79,2002-04-01,660.1711358
Sonipat,8,6,Haryana,76,2002-04-01,543.7630505
Yamunanagar,3,6,Haryana,71,2002-04-01,429.4982233
Jind,9,6,Haryana,77,2002-04-01,601.6340559
New Delhi,5,7,NCT of Delhi,94,2002-04-01,511.9915808
North,2,7,NCT of Delhi,91,2002-04-01,484.0567007
North East,3,7,NCT of Delhi,92,2002-04-01,488.5806111
North West,1,7,NCT of Delhi,90,2002-04-01,492.8400672
Central,6,7,NCT of Delhi,95,2002-04-01,493.0083872
East,4,7,NCT of Delhi,93,2002-04-01,471.1072551
South,9,7,NCT of Delhi,98,2002-04-01,540.6658133
South West,8,7,NCT of Delhi,97,2002-04-01,536.6783155
West,7,7,NCT of Delhi,96,2002-04-01,527.0632339
Nagaur,14,8,Rajasthan,112,2002-04-01,644.9697706
Pali,20,8,Rajasthan,118,2002-04-01,608.0865861
Pratapgarh,33,8,Rajasthan,131,2002-04-01,454.0542529
Ajmer,21,8,Rajasthan,119,2002-04-01,588.6589653
Alwar,6,8,Rajasthan,104,2002-04-01,614.8224075
Banswara,27,8,Rajasthan,125,2002-04-01,459.2239524
Baran,30,8,Rajasthan,128,2002-04-01,525.380128
Barmer,17,8,Rajasthan,115,2002-04-01,649.51215
Bharatpur,7,8,Rajasthan,105,2002-04-01,579.4227717
Bhilwara,24,8,Rajasthan,122,2002-04-01,551.7765532
Bikaner,3,8,Rajasthan,101,2002-04-01,755.7637445
Bundi,23,8,Rajasthan,121,2002-04-01,548.1962884
Chittaurgarh,28,8,Rajasthan,126,2002-04-01,496.4756881
Churu,4,8,Rajasthan,102,2002-04-01,628.3044709
Dhaulpur,8,8,Rajasthan,106,2002-04-01,573.9264378
Dungarpur,26,8,Rajasthan,124,2002-04-01,478.8096493
Ganganagar,1,8,Rajasthan,99,2002-04-01,766.8180072
Hanumangarh,2,8,Rajasthan,100,2002-04-01,718.7093471
Jaipur,12,8,Rajasthan,110,2002-04-01,620.1378781
Jaisalmer,16,8,Rajasthan,114,2002-04-01,737.3550578
Jalor,18,8,Rajasthan,116,2002-04-01,606.666818
Jhalawar,31,8,Rajasthan,129,2002-04-01,483.2368215
Jhunjhunun,5,8,Rajasthan,103,2002-04-01,577.6963628
Jodhpur,15,8,Rajasthan,113,2002-04-01,674.893718
Kota,29,8,Rajasthan,127,2002-04-01,525.2036121
Rajsamand,25,8,Rajasthan,123,2002-04-01,537.6004887
Sikar,13,8,Rajasthan,111,2002-04-01,607.304029
Sirohi,19,8,Rajasthan,117,2002-04-01,549.4308184
Tonk,22,8,Rajasthan,120,2002-04-01,592.0567048
Udaipur,32,8,Rajasthan,130,2002-04-01,478.1433832
Dausa,11,8,Rajasthan,109,2002-04-01,593.1353321
Karauli,9,8,Rajasthan,107,2002-04-01,553.7850594
Sawai Madhopur,10,8,Rajasthan,108,2002-04-01,561.53272
Muzaffarnagar,2,9,Uttar Pradesh,133,2002-04-01,477.3847109
Pilibhit,20,9,Uttar Pradesh,151,2002-04-01,506.2232075
Pratapgarh,42,9,Uttar Pradesh,173,2002-04-01,479.1798268
Rae Bareli,27,9,Uttar Pradesh,158,2002-04-01,478.1069043
Agra,15,9,Uttar Pradesh,146,2002-04-01,577.7837994
Aligarh,12,9,Uttar Pradesh,143,2002-04-01,503.4123154
Allahabad,44,9,Uttar Pradesh,175,2002-04-01,512.1890641
Ambedkar Nagar,47,9,Uttar Pradesh,178,2002-04-01,466.4806504
Auraiya,31,9,Uttar Pradesh,162,2002-04-01,534.9275323
Azamgarh,60,9,Uttar Pradesh,191,2002-04-01,447.4047682
Baghpat,8,9,Uttar Pradesh,139,2002-04-01,495.0666757
Bahraich,49,9,Uttar Pradesh,180,2002-04-01,427.9302381
Ballia,62,9,Uttar Pradesh,193,2002-04-01,437.6418299
Balrampur,51,9,Uttar Pradesh,182,2002-04-01,481.7556792
Banda,39,9,Uttar Pradesh,170,2002-04-01,537.0362602
Bara Banki,45,9,Uttar Pradesh,176,2002-04-01,520.5688339
Bareilly,19,9,Uttar Pradesh,150,2002-04-01,461.5046037
Basti,54,9,Uttar Pradesh,185,2002-04-01,481.5261297
Bijnor,3,9,Uttar Pradesh,134,2002-04-01,474.1816868
Budaun,18,9,Uttar Pradesh,149,2002-04-01,448.261464
Bulandshahr,11,9,Uttar Pradesh,142,2002-04-01,481.8962871
Chandauli,65,9,Uttar Pradesh,196,2002-04-01,485.7656238
Chitrakoot,40,9,Uttar Pradesh,171,2002-04-01,573.132536
Deoria,59,9,Uttar Pradesh,190,2002-04-01,457.6816566
Etah,70,9,Uttar Pradesh,201,2002-04-01,445.9639279
Etawah,30,9,Uttar Pradesh,161,2002-04-01,533.0241058
Faizabad,46,9,Uttar Pradesh,177,2002-04-01,461.3232122
Farrukhabad,28,9,Uttar Pradesh,159,2002-04-01,501.7605761
Fatehpur,41,9,Uttar Pradesh,172,2002-04-01,528.6755003
Firozabad,16,9,Uttar Pradesh,147,2002-04-01,489.873851
