DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,censuscode,date,mean
Chandigarh,1,4,Chandigarh,55,2003-01-01,633.4144398
Daman,2,25,Daman & Diu,495,2003-01-01,457.001877
Diu,1,25,Daman & Diu,494,2003-01-01,346.6435481
Dadra & Nagar Haveli,1,26,Dadara & Nagar Havelli,496,2003-01-01,481.0162278
North Goa,1,30,Goa,585,2003-01-01,405.6424782
South Goa,2,30,Goa,586,2003-01-01,410.4766057
Lakshadweep,1,31,Lakshadweep,587,2003-01-01,313.3674174
Data Not Available,99,99,Jammu & Kashmir,0,2003-01-01,149.9747442
Anantnag,14,1,Jammu & Kashmir,14,2003-01-01,258.4109888
Badgam,2,1,Jammu & Kashmir,2,2003-01-01,263.7664129
Bandipore,9,1,Jammu & Kashmir,9,2003-01-01,259.5295574
Baramula,8,1,Jammu & Kashmir,8,2003-01-01,255.1246562
Doda,16,1,Jammu & Kashmir,16,2003-01-01,164.6938911
Ganderbal,11,1,Jammu & Kashmir,11,2003-01-01,204.894511
Jammu,21,1,Jammu & Kashmir,21,2003-01-01,623.8465231
Kargil,4,1,Jammu & Kashmir,4,2003-01-01,41.17227051
Kathua,7,1,Jammu & Kashmir,7,2003-01-01,398.2841325
Kishtwar,18,1,Jammu & Kashmir,18,2003-01-01,116.0184348
Kulgam,15,1,Jammu & Kashmir,15,2003-01-01,232.2205325
Kupwara,1,1,Jammu & Kashmir,1,2003-01-01,225.7890766
Leh (ladakh),3,1,Jammu & Kashmir,3,2003-01-01,24.84064996
Pulwama,12,1,Jammu & Kashmir,12,2003-01-01,284.4831789
Punch,5,1,Jammu & Kashmir,5,2003-01-01,223.5053366
Rajouri,6,1,Jammu & Kashmir,6,2003-01-01,293.4710073
Ramban,17,1,Jammu & Kashmir,17,2003-01-01,225.8748267
Reasi,20,1,Jammu & Kashmir,20,2003-01-01,296.6157722
Samba,22,1,Jammu & Kashmir,22,2003-01-01,581.4954812
Shupiyan,13,1,Jammu & Kashmir,13,2003-01-01,244.6659918
Srinagar,10,1,Jammu & Kashmir,10,2003-01-01,237.9803988
Udhampur,19,1,Jammu & Kashmir,19,2003-01-01,271.7755031
Bilaspur,8,2,Himachal Pradesh,30,2003-01-01,358.5860369
Chamba,1,2,Himachal Pradesh,23,2003-01-01,154.1455714
Hamirpur,6,2,Himachal Pradesh,28,2003-01-01,323.8266305
Kangra,2,2,Himachal Pradesh,24,2003-01-01,318.6460913
Kinnaur,12,2,Himachal Pradesh,34,2003-01-01,57.30508053
Kullu,4,2,Himachal Pradesh,26,2003-01-01,155.7432058
Lahul & Spiti,3,2,Himachal Pradesh,25,2003-01-01,31.10306984
Mandi,5,2,Himachal Pradesh,27,2003-01-01,274.0401305
Shimla,11,2,Himachal Pradesh,33,2003-01-01,200.2819695
Sirmaur,10,2,Himachal Pradesh,32,2003-01-01,326.547168
Solan,9,2,Himachal Pradesh,31,2003-01-01,332.3798254
Una,7,2,Himachal Pradesh,29,2003-01-01,426.4408536
Amritsar,15,3,Punjab,49,2003-01-01,455.6313899
Barnala,20,3,Punjab,54,2003-01-01,646.4424542
Bathinda,12,3,Punjab,46,2003-01-01,732.2030714
Faridkot,11,3,Punjab,45,2003-01-01,713.4868629
Fatehgarh Sahib,6,3,Punjab,40,2003-01-01,505.7234039
Firozpur,9,3,Punjab,43,2003-01-01,727.1997234
Gurdaspur,1,3,Punjab,35,2003-01-01,474.4700957
Hoshiarpur,4,3,Punjab,38,2003-01-01,447.1846319
Jalandhar,3,3,Punjab,37,2003-01-01,522.0642358
Kapurthala,2,3,Punjab,36,2003-01-01,554.2819608
Ludhiana,7,3,Punjab,41,2003-01-01,574.6002871
Mansa,13,3,Punjab,47,2003-01-01,654.2931512
Moga,8,3,Punjab,42,2003-01-01,671.9906664
Muktsar,10,3,Punjab,44,2003-01-01,775.4560317
Patiala,14,3,Punjab,48,2003-01-01,544.1321554
Rupnagar,17,3,Punjab,51,2003-01-01,473.0474122
Sahibzada Ajit Singh Nagar,18,3,Punjab,52,2003-01-01,558.9108897
Sangrur,19,3,Punjab,53,2003-01-01,640.9139843
Shahid Bhagat Singh Nagar,5,3,Punjab,39,2003-01-01,460.9801442
Tarn Taran,16,3,Punjab,50,2003-01-01,700.5872026
Almora,9,5,Uttarakhand,64,2003-01-01,207.6838441
Bageshwar,8,5,Uttarakhand,63,2003-01-01,197.18565
Chamoli,2,5,Uttarakhand,57,2003-01-01,109.3384141
Champawat,10,5,Uttarakhand,65,2003-01-01,227.7045109
Dehradun,5,5,Uttarakhand,60,2003-01-01,366.509539
Garhwal,6,5,Uttarakhand,61,2003-01-01,263.8190686
Hardwar,13,5,Uttarakhand,68,2003-01-01,625.0471784
Nainital,11,5,Uttarakhand,66,2003-01-01,301.5055032
Pithoragarh,7,5,Uttarakhand,62,2003-01-01,131.3459103
Rudraprayag,3,5,Uttarakhand,58,2003-01-01,174.4205766
Tehri Garhwal,4,5,Uttarakhand,59,2003-01-01,224.2102719
Udham Singh Nagar,12,5,Uttarakhand,67,2003-01-01,452.9205927
Uttarkashi,1,5,Uttarakhand,56,2003-01-01,116.3347437
Ambala,2,6,Haryana,70,2003-01-01,576.947125
Bhiwani,13,6,Haryana,81,2003-01-01,558.5489506
Faridabad,20,6,Haryana,88,2003-01-01,936.32323
Fatehabad,10,6,Haryana,78,2003-01-01,635.4588489
Gurgaon,18,6,Haryana,86,2003-01-01,673.039983
Hisar,12,6,Haryana,80,2003-01-01,607.3658719
Jhajjar,15,6,Haryana,83,2003-01-01,713.4106322
Kaithal,5,6,Haryana,73,2003-01-01,613.4430802
Karnal,6,6,Haryana,74,2003-01-01,639.1430578
Kurukshetra,4,6,Haryana,72,2003-01-01,540.8249454
Mahendragarh,16,6,Haryana,84,2003-01-01,426.5310094
Mewat,19,6,Haryana,87,2003-01-01,579.1939661
Palwal,21,6,Haryana,89,2003-01-01,839.2794768
Panchkula,1,6,Haryana,69,2003-01-01,603.2148288
Panipat,7,6,Haryana,75,2003-01-01,715.5773737
Rewari,17,6,Haryana,85,2003-01-01,544.3862996
Rohtak,14,6,Haryana,82,2003-01-01,693.4377646
Sirsa,11,6,Haryana,79,2003-01-01,649.2311977
Sonipat,8,6,Haryana,76,2003-01-01,700.5953665
Yamunanagar,3,6,Haryana,71,2003-01-01,631.2641597
Jind,9,6,Haryana,77,2003-01-01,648.7117082
Central,6,7,NCT of Delhi,95,2003-01-01,874.5624203
East,4,7,NCT of Delhi,93,2003-01-01,928.7638011
New Delhi,5,7,NCT of Delhi,94,2003-01-01,852.468374
North,2,7,NCT of Delhi,91,2003-01-01,835.0878843
North East,3,7,NCT of Delhi,92,2003-01-01,857.9804192
North West,1,7,NCT of Delhi,90,2003-01-01,756.5504874
South,9,7,NCT of Delhi,98,2003-01-01,764.747365
South West,8,7,NCT of Delhi,97,2003-01-01,765.1966158
West,7,7,NCT of Delhi,96,2003-01-01,817.4215389
Ajmer,21,8,Rajasthan,119,2003-01-01,352.8061705
Alwar,6,8,Rajasthan,104,2003-01-01,402.1767142
Banswara,27,8,Rajasthan,125,2003-01-01,408.6925844
Baran,30,8,Rajasthan,128,2003-01-01,399.0017237
Barmer,17,8,Rajasthan,115,2003-01-01,330.4282778
Bharatpur,7,8,Rajasthan,105,2003-01-01,447.9826396
Bhilwara,24,8,Rajasthan,122,2003-01-01,394.0216152
Bikaner,3,8,Rajasthan,101,2003-01-01,330.6637265
Bundi,23,8,Rajasthan,121,2003-01-01,426.5279364
Chittaurgarh,28,8,Rajasthan,126,2003-01-01,413.0219548
Churu,4,8,Rajasthan,102,2003-01-01,372.560245
Dhaulpur,8,8,Rajasthan,106,2003-01-01,474.4145782
Dungarpur,26,8,Rajasthan,124,2003-01-01,408.2045733
Ganganagar,1,8,Rajasthan,99,2003-01-01,433.9595614
Hanumangarh,2,8,Rajasthan,100,2003-01-01,480.2431779
Jaipur,12,8,Rajasthan,110,2003-01-01,362.6299556
Jaisalmer,16,8,Rajasthan,114,2003-01-01,356.3202528
Jalor,18,8,Rajasthan,116,2003-01-01,308.3697677
Jhalawar,31,8,Rajasthan,129,2003-01-01,420.9320003
Jhunjhunun,5,8,Rajasthan,103,2003-01-01,363.747059
Jodhpur,15,8,Rajasthan,113,2003-01-01,312.1019955
Kota,29,8,Rajasthan,127,2003-01-01,435.4280962
Nagaur,14,8,Rajasthan,112,2003-01-01,320.1195647
Pali,20,8,Rajasthan,118,2003-01-01,314.3920516
Pratapgarh,33,8,Rajasthan,131,2003-01-01,396.7626389
Rajsamand,25,8,Rajasthan,123,2003-01-01,341.2606955
Sikar,13,8,Rajasthan,111,2003-01-01,321.9801813
Sirohi,19,8,Rajasthan,117,2003-01-01,293.2613932
Tonk,22,8,Rajasthan,120,2003-01-01,380.2627972
Udaipur,32,8,Rajasthan,130,2003-01-01,363.2758097
Dausa,11,8,Rajasthan,109,2003-01-01,394.0829546
Karauli,9,8,Rajasthan,107,2003-01-01,401.9884853
Sawai Madhopur,10,8,Rajasthan,108,2003-01-01,390.6153431
Agra,15,9,Uttar Pradesh,146,2003-01-01,565.19754
Aligarh,12,9,Uttar Pradesh,143,2003-01-01,897.8726608
Allahabad,44,9,Uttar Pradesh,175,2003-01-01,695.8038347
Ambedkar Nagar,47,9,Uttar Pradesh,178,2003-01-01,934.7925081
Auraiya,31,9,Uttar Pradesh,162,2003-01-01,639.4759566
Azamgarh,60,9,Uttar Pradesh,191,2003-01-01,940.2854666
Baghpat,8,9,Uttar Pradesh,139,2003-01-01,804.3267451
Bahraich,49,9,Uttar Pradesh,180,2003-01-01,738.6165908
Ballia,62,9,Uttar Pradesh,193,2003-01-01,959.4534102
Balrampur,51,9,Uttar Pradesh,182,2003-01-01,721.8880795
Banda,39,9,Uttar Pradesh,170,2003-01-01,581.9016861
Bara Banki,45,9,Uttar Pradesh,176,2003-01-01,816.4461704
Bareilly,19,9,Uttar Pradesh,150,2003-01-01,783.7669273
Basti,54,9,Uttar Pradesh,185,2003-01-01,952.2846985
Bijnor,3,9,Uttar Pradesh,134,2003-01-01,624.9295786
Budaun,18,9,Uttar Pradesh,149,2003-01-01,921.2687816
Bulandshahr,11,9,Uttar Pradesh,142,2003-01-01,896.2176692
Chandauli,65,9,Uttar Pradesh,196,2003-01-01,711.5890547
Chitrakoot,40,9,Uttar Pradesh,171,2003-01-01,533.6592955
Deoria,59,9,Uttar Pradesh,190,2003-01-01,959.971027
Etah,70,9,Uttar Pradesh,201,2003-01-01,825.6246372
Etawah,30,9,Uttar Pradesh,161,2003-01-01,638.8570729
Faizabad,46,9,Uttar Pradesh,177,2003-01-01,869.0229647
Farrukhabad,28,9,Uttar Pradesh,159,2003-01-01,788.7890282
Fatehpur,41,9,Uttar Pradesh,172,2003-01-01,636.1160655
Firozabad,16,9,Uttar Pradesh,147,2003-01-01,708.1331169
Gautam Buddha Nagar,10,9,Uttar Pradesh,141,2003-01-01,945.1055902
Ghaziabad,9,9,Uttar Pradesh,140,2003-01-01,874.4115581
Ghazipur,64,9,Uttar Pradesh,195,2003-01-01,931.2365364
Gonda,52,9,Uttar Pradesh,183,2003-01-01,934.362888
Gorakhpur,57,9,Uttar Pradesh,188,2003-01-01,989.4522527
Hamirpur,37,9,Uttar Pradesh,168,2003-01-01,569.3474306
Hardoi,24,9,Uttar Pradesh,155,2003-01-01,706.1643595
Mahamaya Nagar,13,9,Uttar Pradesh,144,2003-01-01,802.5905048
Jalaun,34,9,Uttar Pradesh,165,2003-01-01,563.6868148
Jaunpur,63,9,Uttar Pradesh,194,2003-01-01,825.9061534
Jhansi,35,9,Uttar Pradesh,166,2003-01-01,487.0425191
Jyotiba Phule Nagar,6,9,Uttar Pradesh,137,2003-01-01,860.9189589
Kannauj,29,9,Uttar Pradesh,160,2003-01-01,682.8080246
Kanpur Dehat,32,9,Uttar Pradesh,163,2003-01-01,669.1699168
Kanpur Nagar,33,9,Uttar Pradesh,164,2003-01-01,677.0937761
Kansiram Nagar,71,9,Uttar Pradesh,202,2003-01-01,918.3266773
Kaushambi,43,9,Uttar Pradesh,174,2003-01-01,655.6075457
Kheri,22,9,Uttar Pradesh,153,2003-01-01,633.9228333
Kushinagar,58,9,Uttar Pradesh,189,2003-01-01,931.3687912
Lalitpur,36,9,Uttar Pradesh,167,2003-01-01,408.009583
Lucknow,26,9,Uttar Pradesh,157,2003-01-01,726.571741
Maharajganj,56,9,Uttar Pradesh,187,2003-01-01,808.9258096
Mahoba,38,9,Uttar Pradesh,169,2003-01-01,497.5092958
Mainpuri,17,9,Uttar Pradesh,148,2003-01-01,746.9238754
Mathura,14,9,Uttar Pradesh,145,2003-01-01,716.9533123
Mau,61,9,Uttar Pradesh,192,2003-01-01,969.6814211
Meerut,7,9,Uttar Pradesh,138,2003-01-01,799.610508
Mirzapur,68,9,Uttar Pradesh,199,2003-01-01,585.2331048
Moradabad,4,9,Uttar Pradesh,135,2003-01-01,730.1714329
Muzaffarnagar,2,9,Uttar Pradesh,133,2003-01-01,806.7667237
Pilibhit,20,9,Uttar Pradesh,151,2003-01-01,627.5034125
Pratapgarh,42,9,Uttar Pradesh,173,2003-01-01,782.9835392
Rae Bareli,27,9,Uttar Pradesh,158,2003-01-01,767.3474486
Rampur,5,9,Uttar Pradesh,136,2003-01-01,647.6249816
Saharanpur,1,9,Uttar Pradesh,132,2003-01-01,703.6758031
Sant Kabir Nagar,55,9,Uttar Pradesh,186,2003-01-01,911.4888395
Sant Ravi Das Nagar(bhadohi),67,9,Uttar Pradesh,198,2003-01-01,755.4303353
Shahjahanpur,21,9,Uttar Pradesh,152,2003-01-01,701.2504656
Shrawasti,50,9,Uttar Pradesh,181,2003-01-01,706.1482349
Siddharth Nagar,53,9,Uttar Pradesh,184,2003-01-01,756.513554
Sitapur,23,9,Uttar Pradesh,154,2003-01-01,761.3914669
Sonbhadra,69,9,Uttar Pradesh,200,2003-01-01,459.6529715
Sultanpur,48,9,Uttar Pradesh,179,2003-01-01,819.9696037
Unnao,25,9,Uttar Pradesh,156,2003-01-01,717.0021411
Varanasi,66,9,Uttar Pradesh,197,2003-01-01,825.9363576
Araria,7,10,Bihar,209,2003-01-01,849.7658167
Aurangabad,33,10,Bihar,235,2003-01-01,738.1659421
Banka,23,10,Bihar,225,2003-01-01,758.2519977
Begusarai,20,10,Bihar,222,2003-01-01,1002.781687
Bhagalpur,22,10,Bihar,224,2003-01-01,874.6195184
Bhojpur,29,10,Bihar,231,2003-01-01,901.5291085
Buxar,30,10,Bihar,232,2003-01-01,921.5026953
Darbhanga,13,10,Bihar,215,2003-01-01,897.4314197
Gaya,34,10,Bihar,236,2003-01-01,664.7357091
Gopalganj,15,10,Bihar,217,2003-01-01,922.0774703
Jamui,36,10,Bihar,238,2003-01-01,712.8490739
Kaimur (bhabua),31,10,Bihar,233,2003-01-01,659.4124501
Katihar,10,10,Bihar,212,2003-01-01,823.8386059
Khagaria,21,10,Bihar,223,2003-01-01,915.2064598
Kishanganj,8,10,Bihar,210,2003-01-01,812.8323423
Lakhisarai,25,10,Bihar,227,2003-01-01,881.5244994
Madhepura,11,10,Bihar,213,2003-01-01,949.3052491
Madhubani,5,10,Bihar,207,2003-01-01,909.4385889
Munger,24,10,Bihar,226,2003-01-01,824.6548958
Muzaffarpur,14,10,Bihar,216,2003-01-01,1000.30419
Nalanda,27,10,Bihar,229,2003-01-01,851.3281475
Nawada,35,10,Bihar,237,2003-01-01,800.0410609
Pashchim Champaran,1,10,Bihar,203,2003-01-01,766.2260074
