DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,censuscode,date,mean
Chandigarh,1,4,Chandigarh,55,2003-07-01,876.658259
Daman,2,25,Daman & Diu,495,2003-07-01,897.2512012
Diu,1,25,Daman & Diu,494,2003-07-01,382.5658517
Dadra & Nagar Haveli,1,26,Dadara & Nagar Havelli,496,2003-07-01,1115.420875
South Goa,2,30,Goa,586,2003-07-01,329.8472808
Lakshadweep,1,31,Lakshadweep,587,2003-07-01,467.9429562
Data Not Available,99,99,Jammu & Kashmir,0,2003-07-01,120.4802839
Anantnag,14,1,Jammu & Kashmir,14,2003-07-01,260.8247856
Badgam,2,1,Jammu & Kashmir,2,2003-07-01,300.3709974
Bandipore,9,1,Jammu & Kashmir,9,2003-07-01,232.987972
Baramula,8,1,Jammu & Kashmir,8,2003-07-01,321.5735399
Doda,16,1,Jammu & Kashmir,16,2003-07-01,377.5566569
Ganderbal,11,1,Jammu & Kashmir,11,2003-07-01,131.9329745
Jammu,21,1,Jammu & Kashmir,21,2003-07-01,678.3938395
Ramban,17,1,Jammu & Kashmir,17,2003-07-01,385.685854
Reasi,20,1,Jammu & Kashmir,20,2003-07-01,372.5388219
Samba,22,1,Jammu & Kashmir,22,2003-07-01,651.31472
Shupiyan,13,1,Jammu & Kashmir,13,2003-07-01,327.5085949
Srinagar,10,1,Jammu & Kashmir,10,2003-07-01,283.9420812
Udhampur,19,1,Jammu & Kashmir,19,2003-07-01,419.7269654
Kargil,4,1,Jammu & Kashmir,4,2003-07-01,61.07747764
Kathua,7,1,Jammu & Kashmir,7,2003-07-01,480.1205815
Kishtwar,18,1,Jammu & Kashmir,18,2003-07-01,127.4046389
Kulgam,15,1,Jammu & Kashmir,15,2003-07-01,343.5828805
Kupwara,1,1,Jammu & Kashmir,1,2003-07-01,299.224132
Leh (ladakh),3,1,Jammu & Kashmir,3,2003-07-01,26.94650936
Pulwama,12,1,Jammu & Kashmir,12,2003-07-01,298.2294084
Punch,5,1,Jammu & Kashmir,5,2003-07-01,355.0157665
Rajouri,6,1,Jammu & Kashmir,6,2003-07-01,362.6847498
Bilaspur,8,2,Himachal Pradesh,30,2003-07-01,565.5352474
Chamba,1,2,Himachal Pradesh,23,2003-07-01,222.2673598
Hamirpur,6,2,Himachal Pradesh,28,2003-07-01,421.7880589
Shimla,11,2,Himachal Pradesh,33,2003-07-01,365.3031674
Sirmaur,10,2,Himachal Pradesh,32,2003-07-01,399.4845109
Solan,9,2,Himachal Pradesh,31,2003-07-01,595.1518622
Una,7,2,Himachal Pradesh,29,2003-07-01,500.6469913
Kangra,2,2,Himachal Pradesh,24,2003-07-01,423.1287445
Kinnaur,12,2,Himachal Pradesh,34,2003-07-01,55.90325764
Kullu,4,2,Himachal Pradesh,26,2003-07-01,212.6322905
Lahul & Spiti,3,2,Himachal Pradesh,25,2003-07-01,28.12935225
Mandi,5,2,Himachal Pradesh,27,2003-07-01,433.6222767
Amritsar,15,3,Punjab,49,2003-07-01,1312.402077
Barnala,20,3,Punjab,54,2003-07-01,1234.578674
Bathinda,12,3,Punjab,46,2003-07-01,1092.572907
Faridkot,11,3,Punjab,45,2003-07-01,1267.605648
Fatehgarh Sahib,6,3,Punjab,40,2003-07-01,1205.478701
Firozpur,9,3,Punjab,43,2003-07-01,1021.303962
Gurdaspur,1,3,Punjab,35,2003-07-01,902.8844925
Hoshiarpur,4,3,Punjab,38,2003-07-01,723.1556298
Jalandhar,3,3,Punjab,37,2003-07-01,1045.29227
Rupnagar,17,3,Punjab,51,2003-07-01,835.0445801
Sahibzada Ajit Singh Nagar,18,3,Punjab,52,2003-07-01,984.3888127
Sangrur,19,3,Punjab,53,2003-07-01,1121.374908
Shahid Bhagat Singh Nagar,5,3,Punjab,39,2003-07-01,885.5303692
Tarn Taran,16,3,Punjab,50,2003-07-01,1252.32822
Kapurthala,2,3,Punjab,36,2003-07-01,1015.020608
Ludhiana,7,3,Punjab,41,2003-07-01,1206.68677
Mansa,13,3,Punjab,47,2003-07-01,1055.85239
Moga,8,3,Punjab,42,2003-07-01,1286.098088
Muktsar,10,3,Punjab,44,2003-07-01,928.1110715
Patiala,14,3,Punjab,48,2003-07-01,1214.339528
Almora,9,5,Uttarakhand,64,2003-07-01,328.8171461
Bageshwar,8,5,Uttarakhand,63,2003-07-01,368.5031178
Chamoli,2,5,Uttarakhand,57,2003-07-01,166.6186574
Champawat,10,5,Uttarakhand,65,2003-07-01,200.9226623
Dehradun,5,5,Uttarakhand,60,2003-07-01,399.3506227
Garhwal,6,5,Uttarakhand,61,2003-07-01,447.1769984
Hardwar,13,5,Uttarakhand,68,2003-07-01,708.6570059
Rudraprayag,3,5,Uttarakhand,58,2003-07-01,339.6689584
Tehri Garhwal,4,5,Uttarakhand,59,2003-07-01,369.5102086
Udham Singh Nagar,12,5,Uttarakhand,67,2003-07-01,591.4922226
Uttarkashi,1,5,Uttarakhand,56,2003-07-01,167.2901951
Nainital,11,5,Uttarakhand,66,2003-07-01,396.0481548
Pithoragarh,7,5,Uttarakhand,62,2003-07-01,147.9409845
Ambala,2,6,Haryana,70,2003-07-01,1114.787375
Bhiwani,13,6,Haryana,81,2003-07-01,774.0024799
Faridabad,20,6,Haryana,88,2003-07-01,945.3194146
Fatehabad,10,6,Haryana,78,2003-07-01,831.3557198
Gurgaon,18,6,Haryana,86,2003-07-01,794.4102348
Hisar,12,6,Haryana,80,2003-07-01,752.2366369
Jhajjar,15,6,Haryana,83,2003-07-01,850.4127106
Rewari,17,6,Haryana,85,2003-07-01,866.2870248
Rohtak,14,6,Haryana,82,2003-07-01,898.5112153
Sirsa,11,6,Haryana,79,2003-07-01,773.1394749
Sonipat,8,6,Haryana,76,2003-07-01,985.6201666
Yamunanagar,3,6,Haryana,71,2003-07-01,949.8370682
Jind,9,6,Haryana,77,2003-07-01,910.1358215
Kaithal,5,6,Haryana,73,2003-07-01,1121.246461
Karnal,6,6,Haryana,74,2003-07-01,972.2980472
Kurukshetra,4,6,Haryana,72,2003-07-01,1156.313159
Mahendragarh,16,6,Haryana,84,2003-07-01,793.3586317
Mewat,19,6,Haryana,87,2003-07-01,727.5489483
Palwal,21,6,Haryana,89,2003-07-01,953.549256
Panchkula,1,6,Haryana,69,2003-07-01,754.138716
Panipat,7,6,Haryana,75,2003-07-01,955.2745278
Central,6,7,NCT of Delhi,95,2003-07-01,932.0340502
East,4,7,NCT of Delhi,93,2003-07-01,1001.162716
South,9,7,NCT of Delhi,98,2003-07-01,892.8868021
South West,8,7,NCT of Delhi,97,2003-07-01,999.1351007
West,7,7,NCT of Delhi,96,2003-07-01,1001.764471
New Delhi,5,7,NCT of Delhi,94,2003-07-01,935.1494359
North,2,7,NCT of Delhi,91,2003-07-01,947.9297912
North East,3,7,NCT of Delhi,92,2003-07-01,1007.712311
North West,1,7,NCT of Delhi,90,2003-07-01,940.1344527
Ajmer,21,8,Rajasthan,119,2003-07-01,648.0075162
Alwar,6,8,Rajasthan,104,2003-07-01,578.0782352
Banswara,27,8,Rajasthan,125,2003-07-01,529.5092728
Baran,30,8,Rajasthan,128,2003-07-01,521.7361954
Barmer,17,8,Rajasthan,115,2003-07-01,721.6049608
Bharatpur,7,8,Rajasthan,105,2003-07-01,757.348723
Bhilwara,24,8,Rajasthan,122,2003-07-01,709.1922448
Bikaner,3,8,Rajasthan,101,2003-07-01,842.6250305
Bundi,23,8,Rajasthan,121,2003-07-01,570.8378508
Chittaurgarh,28,8,Rajasthan,126,2003-07-01,653.6114511
Churu,4,8,Rajasthan,102,2003-07-01,590.4025162
Dhaulpur,8,8,Rajasthan,106,2003-07-01,589.2090708
Dungarpur,26,8,Rajasthan,124,2003-07-01,595.3078789
Ganganagar,1,8,Rajasthan,99,2003-07-01,1070.05958
Hanumangarh,2,8,Rajasthan,100,2003-07-01,875.3050293
Jaipur,12,8,Rajasthan,110,2003-07-01,549.6024008
Jaisalmer,16,8,Rajasthan,114,2003-07-01,886.4257416
Jalor,18,8,Rajasthan,116,2003-07-01,553.6969098
Jhalawar,31,8,Rajasthan,129,2003-07-01,415.1774417
