DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,censuscode,date,mean
Chandigarh,1,4,Chandigarh,55,2001-10-01,751.478341
Daman,2,25,Daman & Diu,495,2001-10-01,388.2180035
Diu,1,25,Daman & Diu,494,2001-10-01,366.2607392
Dadra & Nagar Haveli,1,26,Dadara & Nagar Havelli,496,2001-10-01,338.7744411
North Goa,1,30,Goa,585,2001-10-01,392.963146
South Goa,2,30,Goa,586,2001-10-01,372.2704786
Lakshadweep,1,31,Lakshadweep,587,2001-10-01,307.800848
Data Not Available,99,99,Jammu & Kashmir,0,2001-10-01,96.11239951
Anantnag,14,1,Jammu & Kashmir,14,2001-10-01,162.3971361
Badgam,2,1,Jammu & Kashmir,2,2001-10-01,219.6554009
Bandipore,9,1,Jammu & Kashmir,9,2001-10-01,127.0534785
Baramula,8,1,Jammu & Kashmir,8,2001-10-01,235.9824564
Doda,16,1,Jammu & Kashmir,16,2001-10-01,168.0864263
Ganderbal,11,1,Jammu & Kashmir,11,2001-10-01,95.20009174
Jammu,21,1,Jammu & Kashmir,21,2001-10-01,517.2116094
Kargil,4,1,Jammu & Kashmir,4,2001-10-01,39.53201192
Kathua,7,1,Jammu & Kashmir,7,2001-10-01,366.0651927
Kishtwar,18,1,Jammu & Kashmir,18,2001-10-01,82.71421068
Kulgam,15,1,Jammu & Kashmir,15,2001-10-01,198.1162609
Kupwara,1,1,Jammu & Kashmir,1,2001-10-01,192.7004284
Leh (ladakh),3,1,Jammu & Kashmir,3,2001-10-01,23.42788998
Pulwama,12,1,Jammu & Kashmir,12,2001-10-01,235.6387751
Punch,5,1,Jammu & Kashmir,5,2001-10-01,220.9197969
Rajouri,6,1,Jammu & Kashmir,6,2001-10-01,310.0377022
Ramban,17,1,Jammu & Kashmir,17,2001-10-01,201.6351206
Reasi,20,1,Jammu & Kashmir,20,2001-10-01,285.1935231
Samba,22,1,Jammu & Kashmir,22,2001-10-01,479.6996548
Shupiyan,13,1,Jammu & Kashmir,13,2001-10-01,221.9609198
Srinagar,10,1,Jammu & Kashmir,10,2001-10-01,217.3489909
Udhampur,19,1,Jammu & Kashmir,19,2001-10-01,256.6025286
Bilaspur,8,2,Himachal Pradesh,30,2001-10-01,448.9709582
Chamba,1,2,Himachal Pradesh,23,2001-10-01,123.9638429
Hamirpur,6,2,Himachal Pradesh,28,2001-10-01,405.8473137
Kangra,2,2,Himachal Pradesh,24,2001-10-01,367.5248107
Kinnaur,12,2,Himachal Pradesh,34,2001-10-01,46.17848203
Kullu,4,2,Himachal Pradesh,26,2001-10-01,113.9230225
Lahul & Spiti,3,2,Himachal Pradesh,25,2001-10-01,28.60272062
Mandi,5,2,Himachal Pradesh,27,2001-10-01,245.8580001
Shimla,11,2,Himachal Pradesh,33,2001-10-01,174.3750516
Sirmaur,10,2,Himachal Pradesh,32,2001-10-01,429.9197886
Solan,9,2,Himachal Pradesh,31,2001-10-01,405.5212227
Una,7,2,Himachal Pradesh,29,2001-10-01,534.4355678
Amritsar,15,3,Punjab,49,2001-10-01,739.6254338
Barnala,20,3,Punjab,54,2001-10-01,796.7474841
Bathinda,12,3,Punjab,46,2001-10-01,853.2812811
Faridkot,11,3,Punjab,45,2001-10-01,822.9596122
Fatehgarh Sahib,6,3,Punjab,40,2001-10-01,845.4546822
Firozpur,9,3,Punjab,43,2001-10-01,770.6746919
Gurdaspur,1,3,Punjab,35,2001-10-01,622.5170211
Hoshiarpur,4,3,Punjab,38,2001-10-01,662.962601
Jalandhar,3,3,Punjab,37,2001-10-01,778.3928298
Kapurthala,2,3,Punjab,36,2001-10-01,774.3907626
Ludhiana,7,3,Punjab,41,2001-10-01,838.8382316
Mansa,13,3,Punjab,47,2001-10-01,831.2260786
